STORE NUMBER,Store Name,UPC,SKU,Name,Manufacturer,Segment,Yes/No
476,FOOD MAXX,72383021212,,LAGUNITAS INDIA PALE ALE 12/12C,HEINEKEN USA INC,CRAFT,Yes
476,FOOD MAXX,72383000016,,LAGUNITAS INDIA PALE ALE 24/12B,HEINEKEN USA INC,CRAFT,Yes
476,FOOD MAXX,72383000009,,LAGUNITAS INDIA PALE ALE 6/12B,HEINEKEN USA INC,CRAFT,Yes
476,FOOD MAXX,72383014306,,LAGUNITAS ISLAND BEATS TROPICAL IPA 6/12C,HEINEKEN USA INC,CRAFT,Yes
476,FOOD MAXX,72383005192,,LAGUNITAS MAXIMUS COLOSSAL IPA 1/19.2C,HEINEKEN USA INC,CRAFT,Yes
476,FOOD MAXX,72383000017,,LAGUNITAS MAXIMUS INDIA PALE ALE 6/12B,HEINEKEN USA INC,CRAFT,*
476,FOOD MAXX,72383000589,,LAGUNITAS MAXUMUS 12/12C,HEINEKEN USA INC,CRAFT,*
476,FOOD MAXX,72383013700,,LAGUNITAS NON ALCOHOLIC IPA 6/12B,HEINEKEN USA INC,NON-ALC,*
476,FOOD MAXX,72383015319,,LAGUNITAS TIKI FUSION ZOMBIE HAZY IPA 1/19.2C,HEINEKEN USA INC,CRAFT,*
476,FOOD MAXX,72383014512,,LAGUNITAS VARIETY PACK 12/12C,HEINEKEN USA INC,CRAFT,*
476,FOOD MAXX,86273100047,,LEAD DOG GNAR GNAR DOUBLE IPA 4/16C,LEAD DOG BREWING CO,CRAFT,*
476,FOOD MAXX,86000207398,,LEAD DOG PEANUT BUTTER STOUT 6/12C,LEAD DOG BREWING CO,CRAFT,*
476,FOOD MAXX,8200079964,,LONE RIVER RANCH RITA 1/24C,DIAGEO BEER COMPANY USA,SELTZER,*
476,FOOD MAXX,8200080097,,LONE RIVER RANCH RITA 12/12C,DIAGEO BEER COMPANY USA,SELTZER,*
476,FOOD MAXX,8200079909,,LONE RIVER RANCH RITA MARGARITA STYLE 6/12C,DIAGEO BEER COMPANY USA,SELTZER,Yes
476,FOOD MAXX,86000362349,,LONE RIVER RANCH WATER HARD SELTZER VARIETY PACK 12/12C,DIAGEO BEER COMPANY USA,SELTZER,Yes
476,FOOD MAXX,8600079916,,LONG DRINK VARIETY PACK 8/355ml,THE LONG DRINK COMPANY,RTD,Yes
476,FOOD MAXX,75124912704,,LOST COAST GREAT WHITE 12/12B,LOST COAST BREWERY,CRAFT,Yes
476,FOOD MAXX,75124925285,,LOST COAST IPA 12/12C,LOST COAST BREWERY,CRAFT,*
476,FOOD MAXX,84980600454,,MAMITAS 8/12C,PHUSION PROJECTS INC,RTD,Yes
476,FOOD MAXX,1820020293,,MARGARITAVILLE TROPICAL PUNCH VARIETY PACK 12/12B,ANHEUSER-BUSCH INBEV,FMB,*
476,FOOD MAXX,1820025010,,MICHELOB ULTRA 1/25C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,*
476,FOOD MAXX,1820005990,,MICHELOB ULTRA 12/12B,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820006991,,MICHELOB ULTRA 12/12C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820020284,,MICHELOB ULTRA 15/12C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820096721,,MICHELOB ULTRA 18/12C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820096728,,MICHELOB ULTRA 24/12B,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820096715,,MICHELOB ULTRA 24/12C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820024981,,MICHELOB ULTRA 3/25C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820005989,,MICHELOB ULTRA 6/12B,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820020181,,MICHELOB ULTRA AMBER MAX 12/12C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,*
476,FOOD MAXX,1820020083,,MICHELOB ULTRA PURE GOLD 12/12B,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,Yes
476,FOOD MAXX,1820020258,,MICHELOB ULTRA VARIETY PACK 12/12C,ANHEUSER-BUSCH INBEV,SUPER PREMIUM,*
476,FOOD MAXX,3410000217,,MICKEYS MALT LIQUOR 1/24C,MOLSON COORS BREWING,ECONOMY,Yes
476,FOOD MAXX,3410077434,,MICKEYS MALT LIQUOR 12/12B,MOLSON COORS BREWING,ECONOMY,Yes
476,FOOD MAXX,63598506744,,MIKES HARD BLACK CHERRY LEMONADE 6/11B,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598580102,,MIKES HARD BLUE FREEZE 1/24C,MARK ANTHONY BRANDS INC,FMB,*
476,FOOD MAXX,63598580099,,MIKES HARD FREEZE VARIETY PACK 12/12C,MARK ANTHONY BRANDS INC,FMB,*
476,FOOD MAXX,63598510062,,MIKES HARD LEMONADE 6/11B,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598580182,,MIKE'S HARD LEMONADE ZERO SUGAR 1/24C,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598580177,,MIKE'S HARD LEMONADE ZERO SUGAR 6/11.2B,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598580100,,MIKES HARD RED FREEZE 1/24C,MARK ANTHONY BRANDS INC,FMB,*
476,FOOD MAXX,63598506074,,MIKES HARD SEASONAL 6/11B,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598522413,,MIKES HARD STRAWBERRY LEMONADE 6/11B,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598512998,,MIKES HARD VARIETY PACK 12/11B,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598524985,,MIKES HARDER CRANBERRY LEMONADE 1/24C,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598524583,,MIKES HARDER LEMONADE 1/24C,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,63598526042,,MIKES HARDER VARIETY PACK 8/16C,MARK ANTHONY BRANDS INC,FMB,Yes
476,FOOD MAXX,3410000555,,MILLER GENUINE DRAFT 1/24C,MOLSON COORS BREWING,ECONOMY,*
476,FOOD MAXX,3410017341,,MILLER GENUINE DRAFT 30/12C,MOLSON COORS BREWING,ECONOMY,Yes
476,FOOD MAXX,3410000031,,MILLER HIGH LIFE 1/32B,MOLSON COORS BREWING,ECONOMY,Yes
