STORE NUMBER,UPC,SKU #,Name,Manufacturer,SEGMENT,PTS of Distro,% of Distro,Yes/No
,1820025000,,BUDWEISER 1/25C,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820000771,,BUDWEISER 12/12B,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820011047,,BUDWEISER 12/12C,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820097008,,BUDWEISER 12/16B,ANHEUSER-BUSCH INBEV,PREMIUM,,, 
,1820011308,,BUDWEISER 18/12B,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820011218,,BUDWEISER 18/12C,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820021985,,BUDWEISER 3/25C,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820011030,,BUDWEISER 30/12C,ANHEUSER-BUSCH INBEV,PREMIUM,,,1
,1820011716,,BUDWEISER 36/12C,ANHEUSER-BUSCH INBEV,PREMIUM,,, 
,1820000834,,BUDWEISER 6/12B,ANHEUSER-BUSCH INBEV,PREMIUM,,, 
,1820025509,,BUDWEISER CHELADA 1/25C,ANHEUSER-BUSCH INBEV,CHELADA,,,1
,1820025510,,BUDWEISER CHELADA PICANTE 1/25C,ANHEUSER-BUSCH INBEV,CHELADA,,,1
,1820020038,,BUDWEISER ZERO 12/12C,ANHEUSER-BUSCH INBEV,NON-ALC,,,1
,1820025003,,BUSCH 1/25C,ANHEUSER-BUSCH INBEV,ECONOMY,,, 
,1820086031,,BUSCH LIGHT 30/12C,ANHEUSER-BUSCH INBEV,ECONOMY,,, 
,60275501169,,CALI SQUEEZE HEFEWEIZEN VARIETY PACK 12/12C,DUVEL MOORTGAT USA,CRAFT,,, 
,85115400495,,CALICRAFT COOL KIDZ JUICY IPA 6/12C,CALICRAFT BREWING CO,CRAFT,,, 
,86000276780,,CALIFORNIA SELTZER HIBISCUS LIME CAN  6/12C,CALIFORNIA SELTZER COMPANY,SELTZER,,, 
,81009579011,,CASA AZUL TEQUILA SODA LIME MARGARITA 4/12C,GREENGOS CARIBBEAN CANTINA CO,RTD,,, 
,81009579025,,CASA AZUL TEQUILA SODA VARIETY 8 PK 8/12C,GREENGOS CARIBBEAN CANTINA CO,RTD,,, 
,81582901006,,CAYMAN JACK MARGARITA 6/11B,MARK ANTHONY BRANDS INC,FMB,,, 
,81582901153,,CAYMAN JACK MARGARITA VARIETY PACK 12/12C,MARK ANTHONY BRANDS INC,FMB,,, 
,81582901172,,CAYMAN JACK MARGARITA ZERO SUGAR 1/24C,MARK ANTHONY BRANDS INC,FMB,,, 
,81582901175,,CAYMAN JACK MARGARITA ZERO SUGAR 6/11.2B,MARK ANTHONY BRANDS INC,FMB,,, 
,81582901182,,CAYMAN JACK STRAWBERRY MARGARITA 1/24C,MARK ANTHONY BRANDS INC,FMB,,, 
,4257205101,,CLAUSTHALER AMBER NA 6/12B,BINDING BRAUEREI USA,NON-ALC,,, 
,4257205715,,CLAUSTHALER NA 6/12B,BINDING BRAUEREI USA,NON-ALC,,, 
,7199010071,,COORS 1/24C,MOLSON COORS BREWING,PREMIUM,,, 
,7199000047,,COORS 12/12C,MOLSON COORS BREWING,PREMIUM,,,1
,7199010020,,COORS 18/12C,MOLSON COORS BREWING,PREMIUM,,,1
,7199017026,,COORS 3/24C,MOLSON COORS BREWING,PREMIUM,,, 
,7199010033,,COORS 30/12C,MOLSON COORS BREWING,PREMIUM,,,1
,7199017028,,COORS 6/12B,MOLSON COORS BREWING,PREMIUM,,,1
,7199030065,,COORS LIGHT 1/24C,MOLSON COORS BREWING,PREMIUM,,,1
,7199030069,,COORS LIGHT 12/12B,MOLSON COORS BREWING,PREMIUM,,,1
,7199000048,,COORS LIGHT 12/12C,MOLSON COORS BREWING,PREMIUM,,,1
,7199009527,,COORS LIGHT 15/16B,MOLSON COORS BREWING,PREMIUM,,,1
,7199030078,,COORS LIGHT 18/12B,MOLSON COORS BREWING,PREMIUM,,,1
,7199030017,,COORS LIGHT 18/12C,MOLSON COORS BREWING,PREMIUM,,,1
,7199030120,,COORS LIGHT 3/24C,MOLSON COORS BREWING,PREMIUM,,,1
,7199030030,,COORS LIGHT 30/12C,MOLSON COORS BREWING,PREMIUM,,,1
,7199030094,,COORS LIGHT 36/12C,MOLSON COORS BREWING,PREMIUM,,, 
,7199030005,,COORS LIGHT 6/12B,MOLSON COORS BREWING,PREMIUM,,,1
,7199030104,,COORS LIGHT 9/16B,MOLSON COORS BREWING,PREMIUM,,,1
,7199077005,,COORS NA 6/12B,MOLSON COORS BREWING,NON-ALC,,,1
,8066095641,,CORONA EXTRA 1/24B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095643,,CORONA EXTRA 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095615,,CORONA EXTRA 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095695,,CORONA EXTRA 12/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095680,,CORONA EXTRA 18/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354495002,,CORONA EXTRA 18/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,,, 
,8066095608,,CORONA EXTRA 24/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095408,,CORONA EXTRA 24/7B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354495037,,CORONA EXTRA 3/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095605,,CORONA EXTRA 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095401,,CORONA EXTRA 6/7B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354400025,,CORONA FAMILIAR 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095683,,CORONA FAMILIAR 1/32B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354495053,,CORONA FAMILIAR 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354400010,,CORONA FAMILIAR 24/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354495051,,CORONA FAMILIAR 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354400149,,CORONA HARD SELTZER SELTZERITA VARIETY PACK 12/12C,CONSTELLATION BRANDS,SELTZER,,, 
,3354400181,,CORONA LIGHT  24/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,,, 
,8066095675,,CORONA LIGHT 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,8066095625,,CORONA LIGHT 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,, 
,3354400184,,CORONA NON-ALCOHOLIC 6/12B,CONSTELLATION BRANDS,NON-ALC,,, 
,3354495047,,CORONA PREMIER 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,,, 
,3354495042,,CORONA PREMIER 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354495044,,CORONA PREMIER 12/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354400018,,CORONA PREMIER 18/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354400097,,CORONA PREMIER 18/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,,, 
,3354400156,,CORONA PREMIER 24/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,,, 
,3354495041,,CORONA PREMIER 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,,,1
,3354400205,,CORONA REFRESCA HARD TROPICAL PUNCH GUAVA 1/24C,CONSTELLATION BRANDS,FMB,,, 
,8200079865,,CROWN ROYAL WHISKEY LEMONADE 4/355ml,DIAGEO SPIRITS COMPANY USA,RTD,,, 
,81675102120,,CUTWATER GRAPEFRUIT TEQUILA PALOMA 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,81675102199,,CUTWATER LONG ISLAND ICED TEA 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,81675102168,,CUTWATER MAI TAI 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,81675102210,,CUTWATER MANGO MARGARITA 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,81675102123,,CUTWATER MARGARITA 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,81675102248,,CUTWATER PINA COLADA 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,81675102207,,CUTWATER TEQUILA VARIETY 6/355ML CANS,ANHEUSER-BUSCH INBEV,RTD,,,1
,81675102060,,CUTWATER VODKA MULE 4/12C,ANHEUSER-BUSCH INBEV,RTD,,, 
,76317620006,,DESCHUTES BLACK BUTTE PORTER 6/12B,DESCHUTES BREWERY,CRAFT,,, 
,76317618007,,DESCHUTES FRESH HAZE IPA 6/12C,DESCHUTES BREWERY,CRAFT,,, 
,76317619012,,DESCHUTES FRESH PK VARIETY 12/12C,DESCHUTES BREWERY,CRAFT,,, 
,76317613019,,DESCHUTES FRESH SQUEEZED IPA 1/19.2C,DESCHUTES BREWERY,CRAFT,,, 
,76317612007,,DESCHUTES FRESH SQUEEZED IPA 6/12C,DESCHUTES BREWERY,CRAFT,,, 
,8982630046,,DOS EQUIS LIME AND SALT 0.0 6/12C,HEINEKEN USA INC,NON-ALC,,, 
,7231123012,,DOS EQUIS XX LAGER ESPECIAL 12/12B,HEINEKEN USA INC,MEXICAN IMPORT,,,1
,8982623055,,DOS EQUIS XX LAGER ESPECIAL VARIETY PACK 12/12C,HEINEKEN USA INC,MEXICAN IMPORT,,, 
,8982630040,,DOS EQUIS XX LIME & SALT LAGER ESPECIAL 1/24C,HEINEKEN USA INC,MEXICAN IMPORT,,, 
,85495700296,,DRAKES DENOGGINIZER DOUBLE IPA 1/19.2C,DRAKE'S BREWING COMPANY,CRAFT,,, 
,85661900248,,DUST BOWL DIRTY 30S PALE ALE 6/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85003463110,,DUST BOWL HOBO PILSNER 1/19.2C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85003463115,,DUST BOWL HOPS DOUBLE IPA 4/16C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900265,,DUST BOWL HOPS OF WRATH IPA 1/19.2C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900280,,DUST BOWL PEACE LOVE & HAZE HAZY IPA 1/19.2C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900281,,DUST BOWL PEACE LOVE & HAZE HAZY IPA 12/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900266,,DUST BOWL PEACE LOVE & HAZE HAZY IPA 6/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900263,,DUST BOWL TACO TRUCK LAGER 12/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900239,,DUST BOWL TACO TRUCK LAGER 6/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900294,,DUST BOWL TACO TRUCK LIME LAGER 6/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85003463109,,DUST BOWL THE GOLD 1 6/12C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85661900210,,DUST BOWL THERAPIST NO APPOINTMENT NECESSARY IMPERIAL IPA 1/22B,DUST BOWL BREWING COMPANY,CRAFT,,, 
,85003463107,,DUSTBOWL TACO TRUCK LIME 1/19.2C,DUST BOWL BREWING COMPANY,CRAFT,,, 
,81790400921,,ELYSIAN HAZY 96 IPA 6/12B,ANHEUSER-BUSCH INBEV,CRAFT,,, 
,81790400086,,ELYSIAN SPACE DUST 12/12C,ANHEUSER-BUSCH INBEV,CRAFT,,, 
,1820025816,,ESTRELLA JALISCO 1/24C,ANHEUSER-BUSCH INBEV,MEXICAN IMPORT,,, 
,1820098404,,ESTRELLA JALISCO 24/12B,ANHEUSER-BUSCH INBEV,MEXICAN IMPORT,,,1
,1820029092,,ESTRELLA JALISCO 24/12C,ANHEUSER-BUSCH INBEV,MEXICAN IMPORT,,,1
,1820025946,,ESTRELLA JALISCO MANGO MICHELADA 1/25C,ANHEUSER-BUSCH INBEV,CHELADA,,,1
,1820020148,,ESTRELLA JALISCO MANGO MICHELADA 8/12C,ANHEUSER-BUSCH INBEV,CHELADA,,, 
,1820026009,,ESTRELLA JALISCO TROPICAL CHAMOY MICHELADA 1/25C,ANHEUSER-BUSCH INBEV,CHELADA,,,1
,85464800506,,FALL RIVER HEXAGENIA IPA 6/10.7C,FALL RIVER BREWING COMPANY,CRAFT,,, 
,85464800526,,FALL RIVER NUMB NUMB JUICE HAZY IPA 4/16C,FALL RIVER BREWING COMPANY,CRAFT,,, 
,85001767004,,FARMERS 530 UNFILTERED WHEAT ALE 6/12C,FARMERS BREWING CO.,CRAFT,,, 
,85001767001,,FARMERS LIGHT  6/12C,FARMERS BREWING CO.,CRAFT,,, 
,85001767010,,FARMERS SUN UP 'TIL SUN DOWN SESSION IPA 6/12C,FARMERS BREWING CO.,CRAFT,,, 
,85001767007,,FARMERS VALLE MEXICAN LAGER 6/12C,FARMERS BREWING CO.,CRAFT,,, 
,85001596704,,FEATHER FALLS CALIFORNIA HAZE NEW ENGLAND STYLE DOUBLE IPA 4/16C,FEATHER FALLS BREWING,CRAFT,,, 
,85001596702,,FEATHER FALLS SNAKE EYES DOUBLE IPA 4/16C,FEATHER FALLS BREWING,CRAFT,,, 
,85001596701,,FEATHER FALLS VOLCANO MUDSLIDE SWEET STOUT 4/16C,FEATHER FALLS BREWING,CRAFT,,, 
,60275501083,,FIRESTONE 805 CERVEZA 12/12B,FIRESTONE BREWING,CRAFT,,, 
,60275501079,,FIRESTONE 805 CERVEZA 12/12C,FIRESTONE BREWING,CRAFT,,, 
,60275501261,,FIRESTONE CALI SQUEEZE BLOOD ORANGE HEFEWEIZEN 1/24C,FIRESTONE BREWING,CRAFT,,, 
,60275501126,,FIRESTONE WALKER  805 1/32B,FIRESTONE BREWING,CRAFT,,,1
,60275500628,,FIRESTONE WALKER 805 12/12B,FIRESTONE BREWING,CRAFT,,,1
,60275500635,,FIRESTONE WALKER 805 12/12C,FIRESTONE BREWING,CRAFT,,, 
,60275500659,,FIRESTONE WALKER 805 18/12C,FIRESTONE BREWING,CRAFT,,, 
,60275500630,,FIRESTONE WALKER 805 24/12B,FIRESTONE BREWING,CRAFT,,,1
,60275500626,,FIRESTONE WALKER 805 6/12B,FIRESTONE BREWING,CRAFT,,,1
,60275501128,,FIRESTONE WALKER 805 CERVESA 1/32B,FIRESTONE BREWING,CRAFT,,, 
,60275501070,,FIRESTONE WALKER DOUBLE HOPNOSIS IPA 1/19.2C,FIRESTONE BREWING,CRAFT,,, 
